Date,Open,High,Low,Close,Adj Close,Volume,stock_name
2012-10-31,21.24571418762207,21.498571395874023,20.989286422729492,21.261428833007812,18.124114990234375,510003200,AAPL
2012-11-01,21.364999771118164,21.53571319580078,21.22035789489746,21.30500030517578,18.1612548828125,361298000,AAPL
2012-11-02,21.28178596496582,21.319643020629883,20.52678680419922,20.600000381469727,17.560279846191406,599373600,AAPL
2012-11-05,20.84000015258789,20.991785049438477,20.628570556640625,20.87928581237793,17.798357009887695,529135600,AAPL
2012-11-06,21.07964324951172,21.097856521606445,20.717500686645508,20.816070556640625,17.744468688964844,374917200,AAPL
2012-11-07,20.494285583496094,20.519285202026367,19.84821319580078,19.928571701049805,17.065521240234375,793648800,AAPL
2012-11-08,20.022499084472656,20.07964324951172,19.11750030517578,19.20535659790039,16.446199417114258,1056146000,AAPL
2012-11-09,19.30071449279785,19.817142486572266,19.06142807006836,19.537857055664062,16.730939865112305,929913600,AAPL
2012-11-12,19.79107093811035,19.803571701049805,19.237499237060547,19.38678550720215,16.60157012939453,515802000,AAPL
2012-11-13,19.24678611755371,19.65999984741211,19.15571403503418,19.389286041259766,16.60371208190918,532949200,AAPL
2012-11-14,19.48214340209961,19.551786422729492,19.1492862701416,19.174285888671875,16.41959571838379,477170400,AAPL
2012-11-15,19.197500228881836,19.26785659790039,18.665000915527344,18.77214241027832,16.075231552124023,789910800,AAPL
2012-11-16,18.757143020629883,18.928571701049805,18.0625,18.845714569091797,16.138233184814453,1266893600,AAPL
2012-11-19,19.311071395874023,20.26785659790039,19.281429290771484,20.20464324951172,17.301925659179688,823317600,AAPL
2012-11-20,20.425357818603516,20.426786422729492,19.806428909301758,20.032499313354492,17.154510498046875,642754000,AAPL
2012-11-21,20.15178680419922,20.263214111328125,19.878570556640625,20.060714721679688,17.178678512573242,373002000,AAPL
2012-11-23,20.256071090698242,20.428571701049805,20.092857360839844,20.41071319580078,17.478389739990234,272826400,AAPL
2012-11-26,20.56785774230957,21.071428298950195,20.489643096923828,21.054643630981445,18.029813766479492,630579600,AAPL
2012-11-27,21.055356979370117,21.086429595947266,20.717857360839844,20.885000228881836,17.884540557861328,533330000,AAPL
